Date,Time,Temp (C*)
2020-07-17,00:00:02,39.5
2020-07-17,00:15:02,39.5
2020-07-17,00:30:01,39.0
2020-07-17,00:45:01,39.0
2020-07-17,01:00:02,39.5
2020-07-17,01:15:01,39.0
2020-07-17,01:30:01,39.0
2020-07-17,01:45:01,38.5
2020-07-17,02:00:01,39.5
2020-07-17,02:15:01,39.0
2020-07-17,02:30:01,39.5
2020-07-17,02:45:02,39.0
2020-07-17,03:00:01,39.0
2020-07-17,03:15:02,40.1
2020-07-17,03:30:02,39.5
2020-07-17,03:45:01,39.0
2020-07-17,04:00:02,40.1
2020-07-17,04:15:01,39.5
2020-07-17,04:30:01,40.1
2020-07-17,04:45:02,39.0
2020-07-17,05:00:01,40.1
2020-07-17,05:15:01,39.5
2020-07-17,05:30:01,40.1
2020-07-17,05:45:02,40.1
2020-07-17,06:00:01,39.0
2020-07-17,06:15:01,40.1
2020-07-17,06:30:01,40.1
2020-07-17,06:45:02,39.5
2020-07-17,07:00:01,39.5
2020-07-17,07:15:02,40.1
2020-07-17,07:30:02,39.0
2020-07-17,07:45:01,39.5
2020-07-17,08:00:02,39.5
2020-07-17,08:15:01,39.0
2020-07-17,08:30:01,39.0
2020-07-17,08:45:02,39.5
2020-07-17,09:00:01,39.0
2020-07-17,09:15:01,39.0
2020-07-17,09:30:02,40.1
2020-07-17,09:45:01,39.0
2020-07-17,10:00:01,39.5
2020-07-17,10:15:02,39.0
2020-07-17,10:30:01,39.5
2020-07-17,10:45:01,39.0
2020-07-17,11:00:01,38.5
2020-07-17,11:15:01,38.5
2020-07-17,11:30:01,39.5
2020-07-17,11:45:02,39.5
2020-07-17,12:00:01,42.2
2020-07-17,12:15:01,42.2
2020-07-17,12:30:02,44.9
2020-07-17,12:45:02,46.0
2020-07-17,13:00:01,46.5
2020-07-17,13:15:02,47.1
2020-07-17,13:30:02,46.5
2020-07-17,13:45:02,47.1
2020-07-17,14:00:01,47.1
2020-07-17,14:15:02,46.5
2020-07-17,14:30:01,44.4
2020-07-17,14:45:01,47.1
2020-07-17,15:00:02,46.0
2020-07-17,15:15:01,44.4
2020-07-17,15:30:01,44.4
2020-07-17,15:45:02,43.3
2020-07-17,16:00:01,41.2
2020-07-17,16:15:01,40.6
2020-07-17,16:30:02,40.1
2020-07-17,16:45:01,40.1
2020-07-17,17:00:02,40.1
2020-07-17,17:15:02,39.0
2020-07-17,17:30:01,39.0
2020-07-17,17:45:01,39.5
2020-07-17,18:00:01,39.0
2020-07-17,18:15:01,39.5
2020-07-17,18:30:02,39.5
2020-07-17,18:45:02,39.0
2020-07-17,19:00:01,39.0
2020-07-17,19:15:02,39.0
2020-07-17,19:30:02,38.5
2020-07-17,19:45:01,39.0
2020-07-17,20:00:02,37.9
2020-07-17,20:15:01,41.2
2020-07-17,20:30:01,42.2
2020-07-17,20:45:02,42.2
2020-07-17,21:00:01,41.2
2020-07-17,21:15:01,37.4
2020-07-17,21:30:02,38.5
2020-07-17,21:45:02,37.9
2020-07-17,22:00:01,37.9
2020-07-17,22:15:02,38.5
2020-07-17,22:30:02,39.0
2020-07-17,22:45:01,39.0
2020-07-17,23:00:02,38.5
2020-07-17,23:15:01,38.5
2020-07-17,23:30:01,37.9
2020-07-17,23:45:01,38.5
