Date,Time,Temp (C*)
2020-07-16,00:00:01,39.0
2020-07-16,00:15:01,38.5
2020-07-16,00:30:02,39.0
2020-07-16,00:45:02,38.5
2020-07-16,01:00:01,39.0
2020-07-16,01:15:02,39.0
2020-07-16,01:30:02,39.0
2020-07-16,01:45:01,39.0
2020-07-16,02:00:02,39.0
2020-07-16,02:15:01,39.5
2020-07-16,02:30:01,39.0
2020-07-16,02:45:01,39.0
2020-07-16,03:00:01,39.0
2020-07-16,03:15:01,40.1
2020-07-16,03:30:01,39.5
2020-07-16,03:45:02,39.0
2020-07-16,04:00:01,39.5
2020-07-16,04:15:02,40.1
2020-07-16,04:30:02,39.0
2020-07-16,04:45:01,39.0
2020-07-16,05:00:02,40.1
2020-07-16,05:15:01,39.0
2020-07-16,05:30:01,39.5
2020-07-16,05:45:02,40.1
2020-07-16,06:00:01,40.1
2020-07-16,06:15:01,39.0
2020-07-16,06:30:01,39.5
2020-07-16,06:45:02,40.1
2020-07-16,07:00:01,39.5
2020-07-16,07:15:02,40.6
2020-07-16,07:30:02,40.1
2020-07-16,07:45:01,40.1
2020-07-16,08:00:02,40.1
2020-07-16,08:15:01,39.0
2020-07-16,08:30:01,40.1
2020-07-16,08:45:01,39.0
2020-07-16,09:00:01,40.1
2020-07-16,09:15:01,38.5
2020-07-16,09:30:01,39.5
2020-07-16,09:45:02,39.0
2020-07-16,10:00:01,39.0
2020-07-16,10:15:01,37.9
2020-07-16,10:30:02,39.5
2020-07-16,10:45:01,39.0
2020-07-16,11:00:01,38.5
2020-07-16,11:15:02,37.9
2020-07-16,11:30:01,38.5
2020-07-16,11:45:01,39.0
2020-07-16,12:00:02,39.0
2020-07-16,12:15:01,38.5
2020-07-16,12:30:01,39.0
2020-07-16,12:45:02,38.5
2020-07-16,13:00:01,39.0
2020-07-16,13:15:01,37.9
2020-07-16,13:30:02,39.0
2020-07-16,13:45:01,38.5
2020-07-16,14:00:01,38.5
2020-07-16,14:15:02,39.0
2020-07-16,14:30:02,38.5
2020-07-16,14:45:01,38.5
2020-07-16,15:00:02,38.5
2020-07-16,15:15:02,38.5
2020-07-16,15:30:01,37.9
2020-07-16,15:45:01,39.0
2020-07-16,16:00:02,39.0
2020-07-16,16:15:01,38.5
2020-07-16,16:30:01,39.5
2020-07-16,16:45:02,39.0
2020-07-16,17:00:01,38.5
2020-07-16,17:15:01,38.5
2020-07-16,17:30:02,39.0
2020-07-16,17:45:01,38.5
2020-07-16,18:00:02,37.9
2020-07-16,18:15:02,38.5
2020-07-16,18:30:01,38.5
2020-07-16,18:45:01,39.0
2020-07-16,19:00:01,37.9
2020-07-16,19:15:01,39.5
2020-07-16,19:30:01,42.2
2020-07-16,19:45:02,38.5
2020-07-16,20:00:01,37.9
2020-07-16,20:15:02,38.5
2020-07-16,20:30:02,37.9
2020-07-16,20:45:01,39.0
2020-07-16,21:00:01,39.0
2020-07-16,21:15:02,39.0
2020-07-16,21:30:01,38.5
2020-07-16,21:45:01,38.5
2020-07-16,22:00:02,38.5
2020-07-16,22:15:01,37.9
2020-07-16,22:30:01,39.0
2020-07-16,22:45:01,39.0
2020-07-16,23:00:02,39.0
2020-07-16,23:15:01,38.5
2020-07-16,23:30:01,39.0
2020-07-16,23:45:01,38.5
