Date,Time,Temp (C*)
2020-07-18,00:00:02,37.9
2020-07-18,00:15:01,37.9
2020-07-18,00:30:01,37.9
2020-07-18,00:45:01,39.0
2020-07-18,01:00:02,39.0
2020-07-18,01:15:01,38.5
2020-07-18,01:30:01,38.5
2020-07-18,01:45:02,38.5
2020-07-18,02:00:01,37.9
2020-07-18,02:15:01,37.9
2020-07-18,02:30:01,39.0
2020-07-18,02:45:02,38.5
2020-07-18,03:00:01,39.0
2020-07-18,03:15:02,38.5
2020-07-18,03:30:02,39.0
2020-07-18,03:45:01,38.5
2020-07-18,04:00:02,39.5
2020-07-18,04:15:01,39.0
2020-07-18,04:30:01,39.0
2020-07-18,04:45:01,39.0
2020-07-18,05:00:01,40.1
2020-07-18,05:15:01,39.0
2020-07-18,05:30:01,40.1
2020-07-18,05:45:02,39.5
2020-07-18,06:00:01,39.5
2020-07-18,06:15:02,40.1
2020-07-18,06:30:02,39.5
2020-07-18,06:45:01,40.1
2020-07-18,07:00:02,40.1
2020-07-18,07:15:01,39.0
2020-07-18,07:30:01,40.1
2020-07-18,07:45:01,40.6
2020-07-18,08:00:02,39.5
2020-07-18,08:15:01,39.5
2020-07-18,08:30:01,40.1
2020-07-18,08:45:02,40.1
2020-07-18,09:00:01,39.5
2020-07-18,09:15:01,40.1
2020-07-18,09:30:02,39.0
2020-07-18,09:45:01,40.1
2020-07-18,10:00:01,39.0
2020-07-18,10:15:02,39.5
2020-07-18,10:30:01,39.0
2020-07-18,10:45:01,39.0
2020-07-18,11:00:02,38.5
2020-07-18,11:15:01,40.1
2020-07-18,11:30:01,39.5
2020-07-18,11:45:02,39.5
2020-07-18,12:00:01,39.0
2020-07-18,12:15:01,39.0
2020-07-18,12:30:02,38.5
2020-07-18,12:45:02,38.5
2020-07-18,13:00:01,38.5
2020-07-18,13:15:02,39.0
2020-07-18,13:30:02,39.0
2020-07-18,13:45:01,38.5
2020-07-18,14:00:02,38.5
2020-07-18,14:15:01,39.0
2020-07-18,14:30:01,39.0
2020-07-18,14:45:02,38.5
2020-07-18,15:00:01,39.0
2020-07-18,15:15:01,39.5
2020-07-18,15:30:01,42.2
2020-07-18,15:45:02,42.2
2020-07-18,16:00:01,42.2
2020-07-18,16:15:02,42.2
2020-07-18,16:30:02,42.8
2020-07-18,16:45:01,42.2
2020-07-18,17:00:01,42.2
2020-07-18,17:15:02,41.2
2020-07-18,17:30:01,42.2
2020-07-18,17:45:01,43.3
2020-07-18,18:00:02,42.8
2020-07-18,18:15:01,44.4
2020-07-18,18:30:01,43.3
2020-07-18,18:45:02,42.8
2020-07-18,19:00:01,47.1
2020-07-18,19:15:01,47.6
2020-07-18,19:30:02,47.6
2020-07-18,19:45:01,48.2
2020-07-18,20:00:01,48.2
2020-07-18,20:15:02,46.5
2020-07-18,20:30:01,44.4
2020-07-18,20:45:01,41.2
2020-07-18,21:00:02,39.0
2020-07-18,21:15:01,39.0
2020-07-18,21:30:01,37.9
2020-07-18,21:45:02,38.5
2020-07-18,22:00:01,37.4
2020-07-18,22:15:01,37.9
2020-07-18,22:30:02,38.5
2020-07-18,22:45:02,39.0
2020-07-18,23:00:01,38.5
2020-07-18,23:15:02,37.9
2020-07-18,23:30:01,37.9
2020-07-18,23:45:01,36.9
