Date,Time,Temp (C*)
2020-07-12,00:00:01,21.0
2020-07-12,00:15:01,7.0
2020-07-12,00:30:02,8.0
2020-07-12,00:45:01,14.0
2020-07-12,01:00:02,29.0
2020-07-12,01:15:01,10.0
2020-07-12,01:30:01,9.0
2020-07-12,01:45:01,15.0
2020-07-12,02:00:02,23.0
2020-07-12,02:15:01,12.0
2020-07-12,02:30:01,28.0
2020-07-12,02:45:02,9.0
2020-07-12,03:00:01,17.0
2020-07-12,03:15:01,16.0
2020-07-12,03:30:02,21.0
2020-07-12,03:45:01,25.0
2020-07-12,04:00:01,17.0
2020-07-12,04:15:02,4.0
2020-07-12,04:30:02,19.0
2020-07-12,04:45:01,8.0
2020-07-12,05:00:02,13.0
2020-07-12,05:15:01,3.0
2020-07-12,05:30:01,19.0
2020-07-12,05:45:01,10.0
2020-07-12,06:00:01,1.0
2020-07-12,06:15:02,14.0
2020-07-12,06:30:02,28.0
2020-07-12,06:45:01,14.0
2020-07-12,07:00:01,22.0
2020-07-12,07:15:01,11.0
2020-07-12,07:30:02,18.0
2020-07-12,07:45:02,27.0
2020-07-12,08:00:01,13.0
2020-07-12,08:15:02,3.0
2020-07-12,08:30:02,23.0
2020-07-12,08:45:01,5.0
2020-07-12,09:00:02,17.0
2020-07-12,09:15:02,1.0
2020-07-12,09:30:01,5.0
2020-07-12,09:45:01,23.0
2020-07-12,10:00:02,23.0
2020-07-12,10:15:01,24.0
2020-07-12,10:30:01,11.0
2020-07-12,10:45:01,6.0
2020-07-12,11:00:02,24.0
2020-07-12,11:15:01,13.0
2020-07-12,11:30:01,3.0
2020-07-12,11:45:01,27.0
2020-07-12,12:00:02,1.0
2020-07-12,12:15:01,13.0
2020-07-12,12:30:01,26.0
2020-07-12,12:45:01,10.0
2020-07-12,13:00:02,8.0
2020-07-12,13:15:01,8.0
2020-07-12,13:30:01,7.0
2020-07-12,13:45:01,17.0
2020-07-12,14:00:02,13.0
2020-07-12,14:15:01,9.0
2020-07-12,14:30:01,1.0
2020-07-12,14:45:01,0.0
2020-07-12,15:00:02,28.0
2020-07-12,15:15:01,22.0
2020-07-12,15:30:01,19.0
2020-07-12,15:45:01,0.0
2020-07-12,16:00:02,28.0
2020-07-12,16:15:01,16.0
2020-07-12,16:30:01,7.0
2020-07-12,16:45:01,1.0
2020-07-12,17:00:02,23.0
2020-07-12,17:15:01,3.0
2020-07-12,17:30:01,26.0
2020-07-12,17:45:01,22.0
2020-07-12,18:00:02,9.0
2020-07-12,18:15:01,22.0
2020-07-12,18:30:01,20.0
2020-07-12,18:45:01,23.0
2020-07-12,19:00:02,28.0
2020-07-12,19:15:02,5.0
2020-07-12,19:30:01,18.0
2020-07-12,19:45:01,19.0
2020-07-12,20:00:02,29.0
2020-07-12,20:15:01,12.0
2020-07-12,20:30:01,22.0
2020-07-12,20:45:01,20.0
2020-07-12,21:00:02,21.0
2020-07-12,21:15:01,15.0
2020-07-12,21:30:01,15.0
2020-07-12,21:45:01,11.0
2020-07-12,22:00:01,13.0
2020-07-12,22:15:01,16.0
2020-07-12,22:30:01,22.0
2020-07-12,22:45:02,20.0
2020-07-12,23:00:01,23.0
2020-07-12,23:15:02,13.0
2020-07-12,23:30:02,16.0
2020-07-12,23:45:01,0.0
